subgroup,subgroup_auc,bpsn_auc,bnsp_auc
male,0.9323633102424542,0.9327002284610454,0.9694427834240529
female,0.9293740458015268,0.9408855621331995,0.9635018987054094
black,0.8521006452040935,0.858255783597847,0.968989522083274
white,0.8546826869981172,0.8682573999379459,0.9686581407626287
muslim,0.8761013066763417,0.8931797884841364,0.9655025585188854
jewish,0.8913131313131314,0.9227012333760971,0.9564216356095142
christian,0.9216675612810878,0.9572219386261381,0.9431143528329472
homosexual_gay_or_lesbian,0.8386026541764247,0.8837481889071581,0.9593350581059416
psychiatric_or_mental_illness,0.9304043177729382,0.9407374801175696,0.9631671805749226
