subgroup,subgroup_auc,bpsn_auc,bnsp_auc
male,0.9186108362196932,0.9126136887790954,0.9631210305672651
female,0.9141826406559231,0.9200496410064167,0.9577764279545633
black,0.8318405732198836,0.830542173564425,0.9643725383559333
white,0.8281606557158918,0.8367147791912297,0.9641197623060589
muslim,0.8444307862260176,0.8521520899781769,0.9602526991634006
jewish,0.8794444444444444,0.8909247568602047,0.9571535243116437
christian,0.9090218423551757,0.940403544232504,0.9378474604757193
homosexual_gay_or_lesbian,0.8486533957845434,0.8324829239817764,0.9687422409715873
psychiatric_or_mental_illness,0.9126976612063251,0.907210122361822,0.9632709033001421
