subgroup,subgroup_auc,bpsn_auc,bnsp_auc
male,0.9311603166749134,0.9382691212298511,0.9661455445056503
female,0.9290562623692394,0.9457167090754877,0.9601980769151306
black,0.8641173641173641,0.8629326249653111,0.9693793712095633
white,0.8599451795966975,0.8766891302099493,0.9687217472557732
muslim,0.8714496905240243,0.8853568910525431,0.9679568277416484
jewish,0.8913636363636364,0.917322731295066,0.9603316928062687
christian,0.9144170554798573,0.9556714477450137,0.9427326628327072
homosexual_gay_or_lesbian,0.8575657038771793,0.8759952773985692,0.9674326033869833
psychiatric_or_mental_illness,0.9343812139001989,0.9352039597840287,0.9687006959037912
