subgroup,subgroup_auc,bpsn_auc,bnsp_auc
male,0.9271044656110835,0.918470711789271,0.9723804609836699
female,0.9283313542550183,0.9263132168497771,0.9686321139471172
black,0.8570433398019603,0.8583150153618677,0.9680809584936607
white,0.8571010385273005,0.8461509566656324,0.974016854332517
muslim,0.884592266078942,0.8772978009064964,0.9714914464806121
jewish,0.9013636363636364,0.915901363784555,0.9633672724927547
christian,0.9233714576709746,0.950294970503714,0.9496412455187281
homosexual_gay_or_lesbian,0.843628024980484,0.8422075913569882,0.972118048414609
psychiatric_or_mental_illness,0.9145914212669255,0.935912625011512,0.9572392324763831
