subgroup,subgroup_auc,bpsn_auc,bnsp_auc
male,0.9333822983671449,0.9554896821048134,0.9556712287290279
female,0.9322148713599097,0.9614873421879877,0.9491707595234848
black,0.8634456220663118,0.9150478022273336,0.9527243134418458
white,0.862519875722678,0.9238893784258972,0.9512824983975577
muslim,0.8775254918312422,0.9191863354037267,0.9567092480834661
jewish,0.8994949494949495,0.9388100651618886,0.9534531683938555
christian,0.9195314973092751,0.9645407050580852,0.935417748679786
homosexual_gay_or_lesbian,0.8545732500650534,0.9037843603751103,0.9575714723532316
psychiatric_or_mental_illness,0.9304990057759681,0.9311244519161277,0.9691865765199573
